"代號","名稱","股價日期","成交","股價最高","股價最低","成交張數","5日均線","10日均線","月均線","季均線"
="006201","元大富櫃50","09/09","15.24","15.24","15.01","149","15.33↘","15.37↘","15.32↘","15.31↗"
"00679B","元大美債20年","09/09","48.98","49.02","48.88","980","48.93↗","48.66↗","49.03↘","49.58↗"
"00687B","國泰20年美債","09/09","51.4","51.45","51.25","227","51.24↗","50.98↗","51.32↘","51.86↗"
"00694B","富邦美債1-3","09/09","39.58","39.6","39.57","336","39.61↘","39.65↘","39.68↘","39.82↘"
"00695B","富邦美債7-10","09/09","41.37","41.45","41.36","408","41.38↘","41.37↘","41.46↘","41.67↘"
"00696B","富邦美債20年","09/09","51.4","51.5","51.35","646","51.32↗","51.04↘","51.42↘","51.95↗"
"00697B","元大美債7-10","09/09","44.11","44.14","44.06","241","44.13↘","44.08↗","44.14↘","44.22↘"
"00718B","富邦中國政策債","09/09","19.17","19.19","19.17","416","19.2↘","19.21↗","19.23↘","19.26↘"
"00719B","元大美債1-3","09/09","31.74","31.74","31.73","133","31.74↘","31.74↘","31.75↘","31.81↘"
"00720B","元大投資級公司債","09/09","46.64","46.64","46.55","208","46.97↘","46.82↘","47.23↘","47.41↗"
"00721B","元大中國債3-5","09/09","43.98","44.06","43.98","109","44.11↘","44.17↘","44.19↘","44.23↘"
"00722B","群益15年IG電信債","09/09","50.2","50.55","50.15","487","50.6↘","50.46↘","50.81↘","51.24↗"
"00723B","群益15年IG科技債","09/09","47.02","47.07","46.8","108","47.12↘","46.87↗","47.11↘","47.65↗"
"00724B","群益10年IG金融債","09/09","45.68","45.72","45.68","111","45.98↘","45.79↘","46.06↘","46.16↗"
"00725B","國泰投資級公司債","09/09","45.07","45.1","45","105","45.28↘","45.13↘","45.51↘","45.56↗"
"00726B","國泰5Y+新興債","09/09","45.25","45.25","45.2","102","45.45↘","45.4↘","45.63↘","44.86↗"
"00727B","國泰1-5Y高收債","09/09","39.05","39.05","39.01","101","39.13↘","39.15→","39.06↗","38.92↗"
"00734B","台新JPM新興債","09/09","21.72","21.73","21.72","1,001","21.82↘","21.78↘","21.92↘","21.65↗"
