"代號","名稱","股價日期","成交","股價最高","股價最低","成交張數","5日均線","10日均線","月均線","季均線"
="0050","元大台灣50","08/13","104.25","104.9","104","5,461","104.5↘","104.1↗","101.9↗","93.34↗"
="0051","元大中型100","08/13","40.25","40.52","40.23","31","40.33↘","40.25↗","39.72↗","37.53↗"
="0052","富邦科技","08/13","89.4","90.3","89.35","296","90.05↘","89.99↘","87.05↗","74.93↗"
="0053","元大電子","08/13","49.96","50.5","49.95","54","50.15↘","50.1↘","48.77↗","43.8↗"
="0054","元大台商50","08/13","26","26","25.83","4","25.96↘","25.85↗","25.75↘","24.81↗"
="0055","元大MSCI金融","08/13","18.25","18.25","18.11","61","18.19↗","18.1↗","18.09↗","17.85↗"
="0056","元大高股息","08/13","30.32","30.43","30.3","4,156","30.43↘","30.39↗","30.07↗","29.06↗"
="0057","富邦摩台","08/13","68.65","68.85","68.55","26","68.87↘","68.65→","67.33↗","61.72↗"
="0061","元大寶滬深","08/13","20.91","20.94","20.8","504","21↘","21.05↗","20.81↘","19.25↗"
="006203","元大MSCI台灣","08/13","48.79","49.03","48.79","8","49.03↘","48.92↘","47.94↗","43.92↗"
="006204","永豐臺灣加權","08/13","64.35","64.65","64.3","7","64.65↘","64.32↗","63.37↗","59.5↗"
="006205","富邦上証","08/13","34.15","34.27","33.98","2,473","34.2↘","34.19↗","33.82↘","31.56↗"
="006206","元大上證50","08/13","34.72","35","34.55","450","34.7↗","34.65↗","34.41↘","32.54↗"
="006207","FH滬深","08/13","27.28","27.4","27.21","325","27.39↘","27.48↗","27.17↘","25.1↗"
="006208","富邦台50","08/13","59.75","59.95","59.5","813","59.8↘","59.56↗","58.24↗","53.34↗"
"00625K","富邦上証+R","08/13","8.16","8.16","8.12","51","8.16↘","8.2↗","8.12↘","7.57↗"
"00631L","元大台灣50正2","08/13","65.1","65.75","64.8","3,935","65.27↘","64.78↗","62.53↗","54.04↗"
"00632R","元大台灣50反1","08/13","8.41","8.43","8.36","56,662","8.4↗","8.44↘","8.6↘","9.3↘"
"00633L","富邦上証正2","08/13","54.7","55.45","54.3","8,054","54.83↗","55→","54.91↘","49.62↗"
"00634R","富邦上証反1","08/13","4.8","4.81","4.76","791","4.79↗","4.78↘","4.81↗","5.21↘"
"00635U","元大S&P黃金","08/13","26.69","26.8","26.55","2,743","27.36↘","27.51↘","26.78↗","25.37↗"
="00636","國泰中國A50","08/13","23.4","23.55","23.3","1,450","23.38↗","23.39↗","23.3↘","21.96↗"
"00636K","國泰中國A50+U","08/13","7.93","7.93","7.93","0.1","7.92↘","7.95↗","7.93↘","7.42↗"
"00637L","元大滬深300正2","08/13","21.26","21.57","21.11","69,247","21.31↗","21.39↘","21.33↘","19.23↗"
"00638R","元大滬深300反1","08/13","9.69","9.72","9.62","2,017","9.67↗","9.65↗","9.68↗","10.47↘"
="00639","富邦深100","08/13","14.14","14.21","14.03","1,482","14.2↘","14.41↘","14.24↘","12.88↗"
"00640L","富邦日本正2","08/13","19.71","19.77","19.43","1,063","18.7↗","18.17↗","18.31↗","18.35↗"
"00641R","富邦日本反1","08/13","13.41","13.49","13.36","604","13.76↘","13.98↘","13.94↘","14.02↘"
"00642U","元大S&P石油","08/13","8.51","8.53","8.5","9,844","8.47↗","8.36↗","8.35↗","8.81↘"
="00643","群益深証中小","08/13","17.07","17.17","16.95","3,429","17.15↘","17.3↗","17.1↘","15.5↗"
"00643K","群益深証中小+R","08/13","4.1","4.1","4.1","1","4.09↘","4.11↗","4.07↘","3.67↗"
="00645","富邦日本","08/13","21.05","21.08","20.96","131","20.54↗","20.25↗","20.33↗","20.26↗"
="00646","元大S&P500","08/13","30.3","30.33","30.26","451","30.09↗","29.82↗","29.41↗","28.45↗"
"00647L","元大S&P500正2","08/13","41.65","41.69","41.53","608","41.18↗","40.42↗","39.31↗","36.55↗"
"00648R","元大S&P500反1","08/13","9.58","9.59","9.57","802","9.64↘","9.73↘","9.87↘","10.36↘"
"00650L","FH香港正2","08/13","23.94","24.31","23.78","2,631","23.11↗","23.04↗","23.35↘","22.83↗"
"00651R","FH香港反1","08/13","8.27","8.3","8.19","2,165","8.43↘","8.44↘","8.4↗","8.6↘"
="00652","富邦印度","08/13","20.5","20.51","20.41","720","20.39↗","20.22↗","20.14↗","18.91↗"
"00653L","富邦印度正2","08/13","22.65","22.71","22.55","6,799","22.43↗","22.09↗","21.85↗","19.2↗"
"00654R","富邦印度反1","08/13","12.89","12.94","12.86","54","12.98↘","13.1↘","13.2↘","14.27↘"
"00655L","國泰中國A50正2","08/13","39.99","40.57","39.68","4,208","40.07↗","40.24↘","40.17↘","36.27↗"
"00656R","國泰中國A50反1","08/13","8.8","8.82","8.74","188","8.79↗","8.78↘","8.81↗","9.5↘"
="00657","國泰日經225","08/13","28.84","28.84","28.73","101","28.16↗","27.91↗","27.99↗","27.62↗"
